Query,Table,Category,Best scores,Number 1,Number 2,Number 3,Predicted Cat,Top1,Top3,Cat
How many people travel within France ?,Domestic Tourism,IND,"[0.3376083111763001, 0.32712822747230524, 0.30987989974021907]",Employment Tourism,Domestic Tourism / Inbound Tourism,Public finance and economics,IND,0.0,1.0,1.0
What was the tourism GDP of Spain in 2010 ?,Tourism indicators,IND,"[0.6185448487599691, 0.4184143940607707, 0.3833766301472982]",Tourism indicators,Employment Tourism,Domestic Tourism / Inbound Tourism,IND,1.0,1.0,1.0
What is the percentage of person with a Master in Australia ?,Educational attainment,EDU,"[0.44746576488018036, 0.44514821112155917, 0.4420217433571816]",Educational attainment,Public finance and economics,Gov expenditures,EDU,1.0,1.0,1.0
How many jobs in tourism in Western Europe ?,Employment Tourism,IND,"[0.43140448391437525, 0.416981286406517, 0.41116073381900786]",Employment Tourism,Tourism indicators,Domestic Tourism / Inbound Tourism,IND,1.0,1.0,1.0
How many Germans visit Austria each year ?,Inbound Tourism,IND,"[0.31073575782775875, 0.29479499316215513, 0.2878701589107513]",Tourism indicators,Public finance and economics,Gov expenditures,IND,0.0,0.0,1.0
What is the UK score in data availability ?,Open Gov data,GOV,"[0.49000001788139336, 0.36558728367090226, 0.33551586806774136]",Open Gov data,Tourism indicators,Enrolment field,GOV,1.0,1.0,1.0
What is the most indebted country ?,Public finance and economics,GOV,"[0.6012176275253296, 0.4245337128639221, 0.3835606545209884]",Educational attainment,Public finance and economics / Gov expenditures,Open Gov data,GOV,0.0,1.0,1.0
How many persons studying after 25 years old ?,Enrolment age,EDU,"[0.4816067105531692, 0.46922025930881495, 0.3856731402873993]",Enrolment age,Enrolment gender,Public finance and economics,EDU,1.0,1.0,1.0
Inside tourism in Belgium,Domestic Tourism,IND,"[0.5356942327817281, 0.5333333333333333, 0.3823034783204397]",Tourism indicators,Domestic Tourism / Inbound Tourism,Employment Tourism,IND,0.0,1.0,1.0
Most touristic areas in the world,Tourism indicators,IND,"[0.6269174516201019, 0.5898760815461476, 0.5236426941553751]",Educational attainment,Enrolment field,Public finance and economics,EDU,0.0,0.0,0.0
Best data nations,Open Gov data,GOV,"[0.471764013171196, 0.43999999999999995, 0.4276922607421875]",Open Gov data,Employment Tourism,Enrolment field,GOV,1.0,1.0,1.0
Tourism in Greece,Inbound Tourism,IND,"[0.6504285991191864, 0.5, 0.29754785299301145]",Tourism indicators,Domestic Tourism / Inbound Tourism / Employment Tourism,Public finance and economics / Gov expenditures,IND,0.0,1.0,1.0
Countries with most budget in health,Gov expenditures,GOV,"[0.5840348839759827, 0.52, 0.5136672647794088]",Gov expenditures,Public finance and economics / Gov investments / Enrolment field,Educational attainment,GOV,1.0,1.0,1.0
Number of art student in Italy,Enrolment field,EDU,"[0.4954290747642517, 0.4066387042403221, 0.3816387042403221]",Enrolment field,Enrolment gender,Enrolment age,EDU,1.0,1.0,1.0
Defence investment in the USA,Gov investments,GOV,"[0.6070269703865051, 0.4875221669673919, 0.36806558966636654]",Gov investments,Public finance and economics,Gov expenditures,GOV,1.0,1.0,1.0
Number of female with a PhD in Sweden,Enrolment gender,EDU,"[0.41516092121601106, 0.40510325878858566, 0.33016437292098993]",Educational attainment,Enrolment field / Enrolment gender / Enrolment age,Public finance and economics,EDU,0.0,1.0,1.0
Are many people dropping out of high-school in Canada ?,Educational attainment,EDU,"[0.35644394338130947, 0.30911513790488243, 0.25574720352888103]",Public finance and economics,Educational attainment,Employment Tourism,EDU,0.0,1.0,1.0
Tell me the countries with oldest students,Enrolment age,EDU,"[0.5216497957706451, 0.4900954151153564, 0.43331066161394116]",Public finance and economics / Gov expenditures,Educational attainment,Enrolment field,EDU,0.0,0.0,1.0
Are there more female than male in graduate studies ?,Enrolment gender,EDU,"[0.64, 0.54, 0.45500842630863186]",Enrolment field / Enrolment gender,Enrolment age,Educational attainment,EDU,1.0,1.0,1.0
Is France the country with most tax ?,Public finance and economics,GOV,"[0.47783609628677365, 0.47196806271870934, 0.3871418595314025]",Public finance and economics,Educational attainment,Gov expenditures,GOV,1.0,1.0,1.0
Show me the transport budget of Netherlands,Gov expenditures,GOV,"[0.4410006442666054, 0.3764664906263351, 0.3691655404865742]",Public finance and economics,Enrolment field,Gov expenditures,GOV,0.0,1.0,1.0
Compare the journalism education in the world,Enrolment fied,EDU,"[0.5590902835130691, 0.5057799607515335, 0.5028222441673279]",Public finance and economics,Educational attainment,Enrolment gender,EDU,0.0,0.0,1.0
Show me countries with most employees in tourism,Employment Tourism,IND,"[0.58, 0.5235596269369125, 0.47259812653064726]",Employment Tourism,Public finance and economics,Domestic Tourism / Inbound Tourism,IND,1.0,1.0,1.0
Is Germany investing a lot in research ?,Gov investments,GOV,"[0.42820200026035304, 0.4184946104884148, 0.37291365057229997]",Public finance and economics,Gov investments,Gov expenditures,GOV,0.0,1.0,1.0
What is the population of Peru ?,None,None,"[0.4257044345140457, 0.27161229252815244, 0.23943331241607665]",Educational attainment,Tourism indicators,Gov expenditures,EDU,0.0,0.0,0.0
How large is Russia ?,None,None,"[0.2510958552360535, 0.24245137125253677, 0.20673624873161317]",Gov expenditures,Tourism indicators,Public finance and economics / Gov investments,EDU,0.0,0.0,0.0
GDP per capita Switzerland,None,None,"[0.5251650810241699, 0.48544112533330913, 0.3515091188251972]",Public finance and economics,Educational attainment,Gov expenditures / Gov investments,GOV,0.0,0.0,0.0
Electricity sources Denmark,None,None,"[0.3357983112335205, 0.30056529641151425, 0.2884407579898834]",Enrolment field,Enrolment gender / Enrolment age,Domestic Tourism / Inbound Tourism,IND,0.0,0.0,0.0
Show me the incarceration rate in the US,None,None,"[0.5254979252815246, 0.3182353723049164, 0.3108382448554039]",Public finance and economics,Employment Tourism,Gov expenditures,GOV,0.0,0.0,0.0
Tell me about the trade in Mexico,None,None,"[0.3984970343112946, 0.38062681078910826, 0.3802573335170745]",Public finance and economics,Gov expenditures,Gov investments,GOV,0.0,0.0,0.0
